%time bm_in carrier bask_out rec_wv lps_wv bm_out
6.749e-06 1 0.309016994375 0.309016994375 0.309016994375 0.671531277001 0
6.7495e-06 1 0.15643446504 0.15643446504 0.15643446504 0.649097997159 0
6.75e-06 1 -1.12738323451e-13 -1.12738323451e-13 1.12738323451e-13 0.619912568606 0
6.7505e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.592219201605 0
6.751e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.573840633453 0
6.7515e-06 1 -0.45399049974 -0.45399049974 0.45399049974 0.564007696693 0
6.752e-06 1 -0.587785252293 -0.587785252293 0.587785252293 0.561803260104 0
6.7525e-06 1 -0.707106781187 -0.707106781187 0.707106781187 0.566181618441 0
6.753e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.575991211334 0
6.7535e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.590000103592 0
6.754e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.606923591574 0
6.7545e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.625453248357 0
6.755e-06 1 -1 -1 1 0.644286685386 0
6.7555e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.662157291007 0
6.756e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.677863207197 0
6.7565e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.690294824912 0
6.757e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.698460115224 0
6.7575e-06 1 -0.707106781187 -0.707106781187 0.707106781187 0.701507167047 0
6.758e-06 1 -0.587785252292 -0.587785252292 0.587785252292 0.698743371282 0
6.7585e-06 1 -0.453990499739 -0.453990499739 0.453990499739 0.689650774068 0
6.759e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.673897216412 0
6.7595e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.651342981443 0
6.76e-06 1 -1.17291159424e-14 -1.17291159424e-14 1.17291159424e-14 0.622042781412 0
6.7605e-06 1 0.15643446504 0.15643446504 0.15643446504 0.594240510455 0
6.761e-06 1 0.309016994375 0.309016994375 0.309016994375 0.5757586059 0
6.7615e-06 1 0.453990499739 0.453990499739 0.453990499739 0.565827615656 0
6.762e-06 1 0.587785252292 0.587785252292 0.587785252292 0.563530138422 0
6.7625e-06 1 0.707106781187 0.707106781187 0.707106781187 0.567820212677 0
6.763e-06 1 0.809016994375 0.809016994375 0.809016994375 0.577546034881 0
6.7635e-06 1 0.891006524188 0.891006524188 0.891006524188 0.591475439102 0
6.764e-06 1 0.951056516295 0.951056516295 0.951056516295 0.608323502754 0
6.7645e-06 1 0.987688340595 0.987688340595 0.987688340595 0.626781591164 0
6.765e-06 1 1 1 1 0.645547118646 0
6.7655e-06 1 0.987688340595 0.987688340595 0.987688340595 0.663353286494 0
6.766e-06 1 0.951056516295 0.951056516295 0.951056516295 0.678998059197 0
6.7665e-06 1 0.891006524188 0.891006524188 0.891006524188 0.691371659294 0
6.767e-06 1 0.809016994375 0.809016994375 0.809016994375 0.699481898053 0
6.7675e-06 1 0.707106781186 0.707106781186 0.707106781186 0.702476712751 0
6.768e-06 1 0.587785252293 0.587785252293 0.587785252293 0.699663350406 0
6.7685e-06 1 0.45399049974 0.45399049974 0.45399049974 0.69052372063 0
6.769e-06 1 0.309016994375 0.309016994375 0.309016994375 0.674725534881 0
6.7695e-06 1 0.15643446504 0.15643446504 0.15643446504 0.652128953365 0
6.77e-06 1 1.36196555336e-13 1.36196555336e-13 1.36196555336e-13 0.622788571691 0
6.7705e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.594948173317 0
6.771e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.576430090552 0
6.7715e-06 1 -0.45399049974 -0.45399049974 0.45399049974 0.566464771656 0
6.772e-06 1 -0.587785252293 -0.587785252293 0.587785252293 0.56413472077 0
6.7725e-06 1 -0.707106781187 -0.707106781187 0.707106781187 0.568393886654 0
6.773e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.57809038063 0
6.7735e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.591991955986 0
6.774e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.608813613482 0
6.7745e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.627246645711 0
6.775e-06 1 -1 -1 1 0.645988397972 0
6.7755e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.663772006072 0
6.776e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.679395372361 0
6.7765e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.691748660414 0
6.777e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.699839625552 0
6.7775e-06 1 -0.707106781186 -0.707106781186 0.707106781186 0.702816151965 0
6.778e-06 1 -0.587785252292 -0.587785252292 0.587785252292 0.699985436296 0
6.7785e-06 1 -0.45399049974 -0.45399049974 0.45399049974 0.690829340359 0
6.779e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.675015530257 0
6.7795e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.652404123159 0
6.78e-06 1 1.94083356157e-13 1.94083356157e-13 1.94083356157e-13 0.623049673839 0
6.7805e-06 1 0.156434465041 0.156434465041 0.156434465041 0.595195927007 0
6.781e-06 1 0.309016994375 0.309016994375 0.309016994375 0.576665178204 0
6.7815e-06 1 0.45399049974 0.45399049974 0.45399049974 0.566687840802 0
6.782e-06 1 0.587785252293 0.587785252293 0.587785252293 0.564346385838 0
6.7825e-06 1 0.707106781187 0.707106781187 0.707106781187 0.56859473066 0
6.783e-06 1 0.809016994375 0.809016994375 0.809016994375 0.578280956786 0
6.7835e-06 1 0.891006524188 0.891006524188 0.891006524188 0.59217278922 0
6.784e-06 1 0.951056516295 0.951056516295 0.951056516295 0.608985201886 0
6.7845e-06 1 0.987688340595 0.987688340595 0.987688340595 0.627409461914 0
6.785e-06 1 1 1 1 0.646142890439 0
6.7855e-06 1 0.987688340595 0.987688340595 0.987688340595 0.663918600342 0
6.786e-06 1 0.951056516295 0.951056516295 0.951056516295 0.679534472217 0
6.7865e-06 1 0.891006524188 0.891006524188 0.891006524188 0.691880648998 0
6.787e-06 1 0.809016994375 0.809016994375 0.809016994375 0.699964866416 0
6.7875e-06 1 0.707106781187 0.707106781187 0.707106781187 0.702934990076 0
6.788e-06 1 0.587785252292 0.587785252292 0.587785252292 0.700098198986 0
6.7885e-06 1 0.453990499739 0.453990499739 0.453990499739 0.690936338224 0
6.789e-06 1 0.309016994375 0.309016994375 0.309016994375 0.675117058016 0
6.7895e-06 1 0.15643446504 0.15643446504 0.15643446504 0.652500460462 0
